Y01   9.244440.772796+0.632717SRT
Z00 343.4882 0.881463+0.471461Teide
Z01 219.1183 0.950577-0.309453Hao
Z02 105.6606 0.982974-0.183259Christmas Island
Z03  70.2292 0.652711-0.755069Kerguelen Island
Z04 168.0872 0.682317-0.728608Stewart Island
Z05 302.159170.62094 -0.781235Falkland Island
Z06 303.777780.68633 +0.724851Saint Pierre
Z07  13.8225 0.56834 +0.820043Ystad
Z08 116.1919 0.85753 -0.512785New Norcia
Z09 290.602280.81246 -0.581471Malargue
Z10  13.551110.73857 +0.672249Gran Sasso
Z11 334.780560.79126 +0.609581Pico de Vara
